N k T T_init
1000 1 4.50391 0.00313024
1000 2 2.43145 0.00148562
1000 3 1.52275 0.00105266
1000 4 1.06082 0.000755968
1000 5 0.93026 0.000611973
1000 6 0.716566 0.00051176
1000 7 0.711368 0.000446899
1000 8 0.546787 0.000392985
1000 9 0.560195 0.000353581
1000 10 0.523704 0.000321587
1000 11 0.532761 0.000300159
1000 12 0.595026 0.00027349
1000 13 0.665623 0.000258864
1000 14 0.699155 0.000252405
1000 15 0.709902 0.000234144
1000 16 0.701945 0.00022209
1000 17 0.705873 0.000223811
1000 18 0.695864 0.000200848
1000 19 0.712255 0.000203806
1000 20 0.652419 0.000188236
1000 21 0.689931 0.000191843
1000 22 1.09318 0.000183355
1000 23 0.688894 0.000186398
1000 24 0.658333 0.000171704
1000 25 0.659295 0.00017561
1000 26 0.684162 0.000182732
1000 27 0.960848 0.000181297
1000 28 0.676972 0.00022285
1000 29 0.658446 0.000235526
1000 30 0.74584 0.000155894
1000 31 1.27394 0.000152341
1000 32 0.674568 0.000156331
1000 33 0.678229 0.000173304
1000 34 2.16395 0.000182344
1000 35 0.984782 0.00017641
1000 36 0.952286 0.000189376
1000 37 0.675178 0.000192442
1000 38 1.26015 0.000292528
1000 39 1.79816 0.000899003
1000 40 3.49397 0.000466835
1000 41 3.66099 0.00034307
1000 42 3.51844 0.000221347
1000 43 2.5264 0.000198913
1000 44 2.67519 0.000200806
1000 45 3.02595 0.000262391
1000 46 1.27978 0.000198584
1000 47 0.644767 0.000367778
1000 48 0.802179 0.000194423
1000 49 0.718036 0.000191377
1000 50 0.664121 0.000184725
1000 51 1.32329 0.000352098
1000 52 0.769207 0.00036995
1000 53 0.720307 0.000186423
1000 54 1.75878 0.000186077
1000 55 1.09461 0.000194233
1000 56 0.619359 0.000191388
1000 57 1.60156 0.000198452
1000 58 0.763708 0.00033737
1000 59 0.664526 0.000352468
1000 60 0.828183 0.000950339
1000 61 1.63112 0.000665313
1000 62 2.165 0.000643156
1000 63 1.72867 0.00143263
1000 64 2.16926 0.000986672
1000 65 5.44858 0.00230739
1000 66 2.38781 0.00116741
1000 67 1.88968 0.00117909
1000 68 2.0455 0.00132605
1000 69 1.95493 0.000780656
1000 70 4.98386 0.00252239
1000 71 1.99337 0.000993092
1000 72 1.70281 0.00270952
1000 73 1.36597 0.00115209
1000 74 1.88912 0.0013106
1000 75 3.21398 0.00210238
1000 76 1.43384 0.00141954
1000 77 3.59856 0.00180932
1000 78 1.16414 0.000838976
1000 79 1.04472 0.000621163
1000 80 1.26567 0.00111383
