N k T 
1000 1 5.97841
1000 2 3.16279
1000 3 1.83253
1000 4 1.494
1000 5 1.27638
1000 6 1.19244
1000 7 1.24652
1000 8 0.937441
1000 9 0.898876
1000 10 0.871902
1000 11 0.735286
1000 12 0.715079
1000 13 0.740472
1000 14 0.744747
1000 15 0.827418
1000 16 0.954975
1000 17 1.25405
1000 18 1.54657
1000 19 2.082
1000 20 2.11115
1000 21 2.84133
1000 22 2.68702
1000 23 2.03159
1000 24 2.12238
1000 25 2.4654
1000 26 2.69005
1000 27 3.10099
1000 28 2.36664
1000 29 2.63497
1000 30 2.58722
1000 31 3.10963
1000 32 3.10166
1000 33 1.66921
1000 34 1.00227
1000 35 1.3181
1000 36 1.08129
1000 37 0.269758
1000 38 0.291997
1000 39 0.298338
1000 40 0.298876
1000 41 0.339881
1000 42 0.415766
1000 43 0.433665
1000 44 0.46187
1000 45 0.422544
1000 46 0.466728
1000 47 0.470207
1000 48 0.466454
1000 49 0.447919
1000 50 0.50715
1000 51 0.478277
1000 52 0.526955
1000 53 0.513793
1000 54 0.551654
1000 55 0.518928
1000 56 0.483851
1000 57 0.563569
1000 58 0.515855
1000 59 0.565005
1000 60 0.588203
1000 61 0.506927
1000 62 0.649343
1000 63 0.459104
1000 64 0.643258
1000 65 0.557513
1000 66 0.663173
1000 67 0.664242
1000 68 0.606678
1000 69 0.61326
1000 70 0.624762
1000 71 0.719344
1000 72 0.665068
1000 73 0.748289
1000 74 0.764172
1000 75 0.769809
1000 76 0.650869
1000 77 1.04788
1000 78 1.03947
1000 79 1.32246
1000 80 1.93621
