N k T mode chunk
1000 11 0.430448 11 1
1000 11 0.439439 11 2
1000 11 0.451738 11 3
1000 11 0.769232 11 4
1000 11 0.623809 11 5
1000 11 0.506855 11 6
1000 11 0.460516 11 7
1000 11 0.592178 11 8
1000 11 0.542667 11 9
1000 11 0.549138 11 10
1000 11 0.428329 12 1
1000 11 0.420611 12 2
1000 11 0.420773 12 3
1000 11 0.414798 12 4
1000 11 0.421038 12 5
1000 11 0.423901 12 6
1000 11 0.412357 12 7
1000 11 0.488143 12 8
1000 11 0.435383 12 9
1000 11 0.439266 12 10
1000 11 0.407109 13 1
1000 11 0.406168 13 2
1000 11 0.413471 13 3
1000 11 0.406446 13 4
1000 11 0.409357 13 5
1000 11 0.421912 13 6
1000 11 0.407694 13 7
1000 11 0.421863 13 8
1000 11 0.424661 13 9
1000 11 0.414386 13 10
